x,y,u
3.906250e-03,3.906250e-03,1.505925e-04
7.812500e-03,3.906250e-03,3.011624e-04
1.171875e-02,3.906250e-03,4.516869e-04
1.562500e-02,3.906250e-03,6.021434e-04
1.953125e-02,3.906250e-03,7.525092e-04
2.343750e-02,3.906250e-03,9.027617e-04
2.734375e-02,3.906250e-03,1.052878e-03
3.125000e-02,3.906250e-03,1.202836e-03
3.515625e-02,3.906250e-03,1.352613e-03
3.906250e-02,3.906250e-03,1.502186e-03
4.296875e-02,3.906250e-03,1.651533e-03
4.687500e-02,3.906250e-03,1.800631e-03
5.078125e-02,3.906250e-03,1.949458e-03
5.468750e-02,3.906250e-03,2.097992e-03
5.859375e-02,3.906250e-03,2.246209e-03
6.250000e-02,3.906250e-03,2.394088e-03
6.640625e-02,3.906250e-03,2.541607e-03
7.031250e-02,3.906250e-03,2.688743e-03
7.421875e-02,3.906250e-03,2.835474e-03
7.812500e-02,3.906250e-03,2.981778e-03
8.203125e-02,3.906250e-03,3.127633e-03
8.593750e-02,3.906250e-03,3.273017e-03
8.984375e-02,3.906250e-03,3.417908e-03
9.375000e-02,3.906250e-03,3.562284e-03
9.765625e-02,3.906250e-03,3.706124e-03
1.015625e-01,3.906250e-03,3.849406e-03
1.054688e-01,3.906250e-03,3.992108e-03
1.093750e-01,3.906250e-03,4.134209e-03
1.132812e-01,3.906250e-03,4.275687e-03
1.171875e-01,3.906250e-03,4.416521e-03
1.210938e-01,3.906250e-03,4.556690e-03
1.250000e-01,3.906250e-03,4.696173e-03
1.289062e-01,3.906250e-03,4.834949e-03
1.328125e-01,3.906250e-03,4.972997e-03
1.367188e-01,3.906250e-03,5.110295e-03
1.406250e-01,3.906250e-03,5.246825e-03
1.445312e-01,3.906250e-03,5.382564e-03
1.484375e-01,3.906250e-03,5.517492e-03
1.523438e-01,3.906250e-03,5.651589e-03
1.562500e-01,3.906250e-03,5.784836e-03
1.601562e-01,3.906250e-03,5.917211e-03
1.640625e-01,3.906250e-03,6.048695e-03
1.679688e-01,3.906250e-03,6.179268e-03
1.718750e-01,3.906250e-03,6.308911e-03
1.757812e-01,3.906250e-03,6.437603e-03
1.796875e-01,3.906250e-03,6.565326e-03
1.835938e-01,3.906250e-03,6.692061e-03
1.875000e-01,3.906250e-03,6.817787e-03
1.914062e-01,3.906250e-03,6.942487e-03
1.953125e-01,3.906250e-03,7.066141e-03
1.992188e-01,3.906250e-03,7.188731e-03
2.031250e-01,3.906250e-03,7.310239e-03
2.070312e-01,3.906250e-03,7.430645e-03
2.109375e-01,3.906250e-03,7.549933e-03
2.148438e-01,3.906250e-03,7.668083e-03
2.187500e-01,3.906250e-03,7.785079e-03
2.226562e-01,3.906250e-03,7.900903e-03
2.265625e-01,3.906250e-03,8.015536e-03
2.304688e-01,3.906250e-03,8.128963e-03
2.343750e-01,3.906250e-03,8.241165e-03
2.382812e-01,3.906250e-03,8.352126e-03
2.421875e-01,3.906250e-03,8.461829e-03
2.460938e-01,3.906250e-03,8.570259e-03
2.500000e-01,3.906250e-03,8.677397e-03
2.539062e-01,3.906250e-03,8.783229e-03
2.578125e-01,3.906250e-03,8.887737e-03
2.617188e-01,3.906250e-03,8.990908e-03
2.656250e-01,3.906250e-03,9.092724e-03
2.695312e-01,3.906250e-03,9.193171e-03
2.734375e-01,3.906250e-03,9.292234e-03
2.773438e-01,3.906250e-03,9.389897e-03
2.812500e-01,3.906250e-03,9.486146e-03
2.851562e-01,3.906250e-03,9.580967e-03
2.890625e-01,3.906250e-03,9.674345e-03
2.929688e-01,3.906250e-03,9.766266e-03
2.968750e-01,3.906250e-03,9.856716e-03
3.007812e-01,3.906250e-03,9.945681e-03
3.046875e-01,3.906250e-03,1.003315e-02
3.085938e-01,3.906250e-03,1.011911e-02
3.125000e-01,3.906250e-03,1.020354e-02
3.164062e-01,3.906250e-03,1.028644e-02
3.203125e-01,3.906250e-03,1.036778e-02
3.242188e-01,3.906250e-03,1.044757e-02
3.281250e-01,3.906250e-03,1.052578e-02
3.320312e-01,3.906250e-03,1.060241e-02
3.359375e-01,3.906250e-03,1.067744e-02
3.398438e-01,3.906250e-03,1.075086e-02
3.437500e-01,3.906250e-03,1.082267e-02
3.476562e-01,3.906250e-03,1.089284e-02
3.515625e-01,3.906250e-03,1.096137e-02
3.554688e-01,3.906250e-03,1.102826e-02
3.593750e-01,3.906250e-03,1.109348e-02
3.632812e-01,3.906250e-03,1.115703e-02
3.671875e-01,3.906250e-03,1.121890e-02
3.710938e-01,3.906250e-03,1.127908e-02
3.750000e-01,3.906250e-03,1.133757e-02
3.789062e-01,3.906250e-03,1.139434e-02
3.828125e-01,3.906250e-03,1.144940e-02
3.867188e-01,3.906250e-03,1.150274e-02
3.906250e-01,3.906250e-03,1.155434e-02
3.945312e-01,3.906250e-03,1.160420e-02
3.984375e-01,3.906250e-03,1.165232e-02
4.023438e-01,3.906250e-03,1.169868e-02
4.062500e-01,3.906250e-03,1.174328e-02
4.101562e-01,3.906250e-03,1.178611e-02
4.140625e-01,3.906250e-03,1.182716e-02
4.179688e-01,3.906250e-03,1.186644e-02
4.218750e-01,3.906250e-03,1.190393e-02
4.257812e-01,3.906250e-03,1.193962e-02
4.296875e-01,3.906250e-03,1.197352e-02
4.335938e-01,3.906250e-03,1.200561e-02
4.375000e-01,3.906250e-03,1.203590e-02
4.414062e-01,3.906250e-03,1.206437e-02
4.453125e-01,3.906250e-03,1.209102e-02
4.492188e-01,3.906250e-03,1.211586e-02
4.531250e-01,3.906250e-03,1.213887e-02
4.570312e-01,3.906250e-03,1.216005e-02
4.609375e-01,3.906250e-03,1.217940e-02
4.648438e-01,3.906250e-03,1.219692e-02
4.687500e-01,3.906250e-03,1.221260e-02
4.726562e-01,3.906250e-03,1.222644e-02
4.765625e-01,3.906250e-03,1.223844e-02
4.804688e-01,3.906250e-03,1.224860e-02
